Ingredients,Description,Categories,Fragrances,Rating
Asparagopsis armata extract,Extract derived from seaweed. ,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer ",N/A,Good
aspartic acid,None,"Antioxidants, Skin-Replenishing ",N/A,Good
astaxanthin,None,Antioxidants ,N/A,Best
astaxanthin extract,"Carotenoid (carotene pigment) found in plants, algae, and fish, particularly salmon, that functions... ",Antioxidants ,N/A,Best
Astragalus membranaceus,"Latin name for the Chinese herb Huang-Qi, also known as milk vetch. ","Antioxidants, Plant Extracts ",N/A,Best
Astragalus sinicus,None,"Antioxidants, Plant Extracts ",N/A,Good
Astrocaryum murumuru seed butter,A non-fragrant vegetable fat that's nearly solid at room temperature (much like dairy butter). It functions as an emollient ingreident that works to keep... ,"Emollients, Plant Extracts ",N/A,Good
ATP,None,"Skin-Soothing, Skin-Restoring ",N/A,Best
atractylodes macrocephala root powder,A natural plant extract commonly used in Chinese and Korean herbal medicines. ,"Antioxidants, Skin-Soothing, Plant Extracts ",N/A,Best
Atractyloydes lancea root extract,"Also known as Chinese Thistle Daisy, this root extract is used in Chinese and Japanese alternative... ",Plant Extracts ,N/A,Average
Avena sativa,"See oatmeal, oat bran extract, gluten ingredients… ","Skin-Soothing, Plant Extracts ",N/A,Best
avobenzone,Synthetic sunscreen ingredient (also known as Parsol 1789 and butyl methoxydibenzoylmethane) that... ,Sunscreen Actives ,N/A,Best
avocado oil,Emollient oil similar to other nonfragrant plant oils. It has antioxidant properties. ,"Antioxidants, Emollients ",N/A,Best
awapuhi,English name for wild ginger. ,Plant Extracts ,N/A,Poor
Azadirachta indica,None,"Plant Extracts, Antioxidants ",N/A,Poor
azelaic acid,A type of acid known as a dicarboxylic acid derived from grains that offers numerous benefits when applied to skin. ,"Skin-Soothing, Antioxidants, Exfoliant ",N/A,Best
azelaoyl bis-dipeptide-10,Azelaoyl bis-dipeptide-10 is a synthetic peptide built around naturally-derived azelaic acid that offers brightening and antioxidant benefits. ,Skin-Restoring ,N/A,Best
Azelex,None,Uncategorized ,N/A,Best
azuki beans,Legumes that are often ground up for use in skincare scrub products. ,Scrub Agents ,N/A,Average
azulene,Chamomile extract used primarily as a coloring agent in cosmetics. It can have antioxidant and... ,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Average
babassu oil,Plant oil that can have emollient properties for skin. There is no research showing it has special... ,"Plant Extracts, Emollients ",N/A,Good
bakuchiol,An antioxidant found in the seeds and leaves of the plant Psoralea corylifolia... ,"Antioxidants, Plant Extracts ",N/A,Good
balm mint extract,Extract derived from a fragrant plant; it poses some risk of causing skin sensitivity… ,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
balsam peru,Fatty resin that when applied topically can cause skin sensitivity… ,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
Bambusa vulgaris (bamboo) leaf/stem extract,"Extract from the common bamboo plant. Like many plant extracts, research has shown... ",Uncategorized ,N/A,Best
banana extract,"Extract from banana fruit that has some weak antioxidant properties (Source: Free Radical Research,... ","Antioxidants, Plant Extracts ",N/A,Average
barberry,"Plant whose primary component, berberine, is an alkaloid that can have soothing properties and... ",Skin-Soothing ,N/A,Best
barium sulfate,Mineral used as a whitening agent in cosmetics. It can be sensitizing. ,Coloring Agents/Pigments ,N/A,Poor
barley extract,"Extract from barley plants. Can have antioxidant properties when ingested, but there is no research... ",Plant Extracts ,N/A,Average
batyl alcohol,Derived from glycerin and used as a stabilizing ingredient and skin-conditioning agent. ,Emollients ,N/A,Good
bay leaf oil,Has the potential to provide antioxidant benefits for skin… ,"Antioxidants, Plant Extracts",Synthetic and Fragrant Plant Extracts ,Poor
bearberry extract,"Latin name Arctostaphylos uva ursi, there is research showing that this extract has soothing... ",Antioxidants ,N/A,Good
bee pollen,"Can have antioxidant properties (Source: Journal of Agricultural Food Chemistry, April 2001, pages... ",Uncategorized ,N/A,Poor
beeswax,Substance made by bees to build the walls of their honeycomb. It is a thickening agent that has... ,"Texture Enhancer, Emollients ",N/A,Good
beet root extract,Powdered base of the stem (root) of the Beta vulgaris plant. Used as a coloring agent. As with most... ,"Antioxidants, Coloring Agents/Pigments, Plant Extracts ",N/A,Good
beheneth-5,A synthetic or plant-derived derivative of polyethylene glycol and behenyl alcohol that functions as an emulsifier and can also be a surfactant. ,Thickeners/Emulsifiers ,N/A,Good
behenic acid,Fatty acid used as a thickening agent and surfactant. ,"Texture Enhancer, Cleansing Agents ",N/A,Good
behentrimonium chloride,Skin-conditioning agent and emulsifier. ,"Texture Enhancer, Emollients ",N/A,Good
behenyl alcohol,Thickening agent used in cosmetics. It is not related to irritating forms of alcohol. ,Texture Enhancer ,N/A,Good
Bellis perennis,None,Plant Extracts ,N/A,Poor
bentonite,"Type of clay that is used as an absorbent in cosmetics. It can be drying for skin, though its... ",Absorbent ,N/A,Good
benzalkonium chloride,Used as a preservative in skincare products. There is no research showing it... ,Antioxidants ,N/A,Average
benzephenone-3,"Also called oxybenzone, a sunscreen agent that protects skin primarily from the sun’s UVB rays and... ",Sunscreen Actives ,N/A,Good
benzoic acid,Preservative used in skincare products; it is considered less sensitizing than some other forms of... ,Preservatives ,N/A,Good
benzoin extract,Balsam resin that has some fragrant properties; it may also be sensitizing to skin… ,,Synthetic and Fragrant Plant Extracts ,Poor
benzophenone,Group of compounds used in cosmetics as sunscreen agents to protect mostly from UVB radiation and... ,Sunscreen Actives ,N/A,Good
