Ingredients,Description,Categories,Fragrances,Rating
rice oil,Emollient similar to other nonfragrant plant oils. There is no research showing this has any... ,"Plant Extracts, Emollients ",N/A,Good
rice starch,Absorbent substance sometimes included in products rather than talc.... ,"Plant Extracts, Absorbent ",N/A,Good
ricinoleate,Glyceryl triester used in cosmetics as a thickening agent and emollient. ,Texture Enhancer ,N/A,Good
Ricinus communis,None,"Plant Extracts, Emollients ",N/A,Good
Robinia pseudacacia extract,None,"Antioxidants, Plant Extracts ",N/A,Poor
Rosa canina,None,"Antioxidants, Emollients, Plant Extracts ",N/A,Good
Rosa centifolia,None,"Antioxidants, Emollients, Plant Extracts ",N/A,Good
Rosa centifolia flower,None,"Antioxidants, Emollients, Plant Extracts ",N/A,Good
Rosa damascena oil,Oil of a very fragrant pink rose used as fragrance in cosmetics. ,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
Rosa eglanteria,None,"Antioxidants, Emollients, Plant Extracts ",N/A,Good
Rosa gallica flower extract,Fragrant extract. ,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
Rosa mosqueta,None,"Antioxidants, Plant Extracts, Emollients ",N/A,Good
Rosa roxburghii extract,"Extract from the chestnut rose; can be a source of antioxidants for skin, and does not impart... ","Antioxidants, Plant Extracts ",N/A,Best
Rosa rubiginosa,None,"Antioxidants, Plant Extracts, Emollients ",N/A,Good
rose flower,Highly fragrant substance that can be a skin sensitizer. ,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
rose flower oil,"Fragrant, volatile oil that can aggravate skin. There is no research showing... ",Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
rose hip,None,"Antioxidants, Plant Extracts, Emollients ",N/A,Good
rose hip oil,Good emollient oil that has antioxidant properties (Sources: Journal of Agricultural Food... ,"Antioxidants, Plant Extracts, Emollients ",N/A,Good
rosemary extract,"Extract that can have antioxidant benefit for skin (Source: Journal of Agricultural Food Chemistry,... ",Plant Extracts,"Synthetic and Fragrant Plant Extracts, Antioxidants ",Good
rosemary oil,"Fragrant plant oil derived from rosemary, Latin name Rosmarinus officinalis. This ingredient is primarily used as a fragrance in cosmetics... ","Antioxidants, Plant Extracts",Synthetic and Fragrant Plant Extracts ,Poor
rose oil,"Fragrant, volatile oil that can aggravate skin. ",Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
rosewood oil,"Fragrant plant oil with a spicy-sweet scent, also known as bois de rose. It is extracted from wood... ",Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
Rosmarinus officinalis extract,None,"Antioxidants, Plant Extracts",Synthetic and Fragrant Plant Extracts ,Poor
royal jelly,The myriad claims about royal jelly are anecdotal and have no research to substantiate them. ,Uncategorized ,N/A,Average
Rubus idaeus,None,"Antioxidants, Plant Extracts ",N/A,Good
Rubus occidentalis,None,"Antioxidants, Plant Extracts ",N/A,Best
Rubus ursinus,None,"Antioxidants, Plant Extracts ",N/A,Good
Rubus ursinus x idaeus,None,"Antioxidants, Plant Extracts ",N/A,Best
Rubus villoscus,The Latin name for blackberry fruit extract. This plant extract has antioxidant ability... ,"Antioxidants, Plant Extracts ",N/A,Best
Ruscus aculeatus,None,"Skin-Soothing, Plant Extracts ",N/A,Average
rutin,Bioflavonoid that is extracted from various plants and used in cosmetics as an antioxidant and... ,"Antioxidants, Emollients ",N/A,Best
saccharide isomerate,Good water-binding agent and emollient for skin. ,"Emollients, Skin-Replenishing ",N/A,Good
saccharides,None,Skin-Replenishing ,N/A,Best
Saccharomyces calcium ferment,Extract of yeast fermented in the presence of calcium ions. It has no known benefit for skin. ,Miscellaneous ,N/A,Average
Saccharomyces cerevisiae,"Saccharomyces, from the Latin, literally means “sugar fungus,” and is the scientific name for the... ",Skin-Replenishing ,N/A,Average
Saccharomyces copper ferment,"Extract of yeast fermented in the presence of copper ions. There is no known benefit for skin,... ",Antioxidants ,N/A,Average
Saccharomyces iron ferment,Extract of yeast fermented in the presence of iron ions. ,Antioxidants ,N/A,Average
Saccharomyces lysate,None,Antioxidants ,N/A,Good
Saccharomyces magnesium ferment,Extract of yeast fermented in the presence of magnesium ions. ,Antioxidants ,N/A,Average
Saccharomyces manganese ferment,Extract of yeast fermented in the presence of manganese ions. ,Antioxidants ,N/A,Average
Saccharomyces officinarum ferment,"Derived from the sugarcane plant. Glycolic acid is also derived from sugarcane, but sugarcane... ",Plant Extracts ,N/A,Average
Saccharomyces potassium ferment,Extract of yeast fermented in the presence of potassium ions. ,Antioxidants ,N/A,Average
saccharomyces selenium ferment,An ingredient created by the fermentation of the Saccharomyces yeast with the mineral selenium. ,Antioxidants ,N/A,Good
Saccharomyces silicon ferment,Extract of yeast fermented in the presence of silicon ions. ,Antioxidants ,N/A,Average
Saccharomyces zinc ferment,Extract of yeast fermented in the presence of zinc ions. ,Antioxidants ,N/A,Average
safflower seed oil,Emollient oil derived from the safflower (Carthamus tinctorius) plant. ,"Antioxidants, Emollients, Plant Extracts ",N/A,Best
sage extract,"Plant used most often to enhance the flavor of foods. Like all plant extracts, sage... ","Plant Extracts, Sensitizing ",N/A,Average
salicin,None,"Skin-Soothing, Plant Extracts ",N/A,Good
salicylic acid,"Also called beta hydroxy acid (BHA), this multifunctional ingredient addresses many of the systemic causes of acne. ","Skin-Soothing, Anti-Acne, Exfoliant ",N/A,Best
Salix alba extract,None,"Skin-Soothing, Plant Extracts ",N/A,Good
Salix nigra (willow) bark extract,None,"Skin-Soothing, Plant Extracts ",N/A,Good
Salvia hispanica (chia) seed oil,Non-fragrant plant oil whose seeds are a rich source of fatty acids... ,"Emollients, Skin-Replenishing, Skin-Restoring ",N/A,Best
Salvia officinalis,None,"Plant Extracts, Thickeners/Emulsifiers, Cleansing Agents ",N/A,Poor
Sambucus canadensis,None,"Antioxidants, Plant Extracts ",N/A,Good
Sambucus cerulea,Blue elderberry. May have antioxidant properties for skin. ,"Antioxidants, Plant Extracts ",N/A,Good
Sambucus nigra,"When taken orally, this has antioxidant properties (Source: Journal of Agricultural Food... ","Antioxidants, Plant Extracts ",N/A,Good
Sambucus nigra fruit extract,"When taken orally, this has antioxidant properties (Source: Journal of Agricultural Food...","Antioxidants, Plant Extracts ",N/A,Good
sandalwood oil,Fragrant oil that can cause skin-sensitizing reactions... ,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
Santalum album seed extract,"Latin name for sandalwood extract, which is used in cosmetics as a fragrance. It can have... ","Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Average
Sapindus mukurossi peel extract,A plant extract that is a natural source of saponin... ,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Good
Saponaria officinalis extract,None,"Plant Extracts, Cleansing Agents ",N/A,Good
saponin,"Group of natural carbohydrates, found in plants, that have considerable potential... ","Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Good
sarcosine,A synthetic amino acid derivative that functions as a skin conditioning...,Hydration ,N/A,Good
Sargassum filipendula extract,None,"Antioxidants, Plant Extracts ",N/A,Good
sausurrea oil,Also called costus oil. Volatile oil and fragrant component used in cosmetics; it can be a skin... ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
Saxifraga sarmentosa extract,None,Plant Extracts ,N/A,Average
sclareolide,Fermented from clary sage and used as a fragrant component in cosmetics. ,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
Sclerocarya birrea,"More commonly known as marula oil, Sclerocarya birrea oil is a non-fragrant plant oil that's a rich source... ","Emollients, Skin-Replenishing ",N/A,Best
sclerotium gum,"A plant-derived, gel-like polysaccharide (sugar-based) ingredient that’s used in cosmetics to thicken and stabilize formulas. It is considered safe as used in cosmetics, and is similar to xanthan gum. ",Thickeners/Emulsifiers ,N/A,Good
Scutellaria baicalensis extract,None,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Good
SD alcohol,None,Sensitizing ,N/A,Poor
SD alcohol 40-2,Denatured alcohol used as a solvent. It can be drying and sensitizing to skin when one of the main... ,Sensitizing ,N/A,Poor
sea buckthorn,Berry extract that grows on a shrub-like tree. Sea buckthorn is believed to have several topical... ,"Antioxidants, Plant Extracts ",N/A,Good
Seamollient,Trade name for an algae extract. ,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Emollients ",N/A,Good
sea salt,"Can be effective as a topical scrub, but if left on skin it can increase skin sensitivity to UVB... ","Scrub Agents, Sensitizing ",N/A,Average
seaweed,"Group of sea plants (scientific name: algae) of all sizes and shapes, and having a gelatin-like... ","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients ",N/A,Good
sea whip extract,"Extract from a creature that inhabits coral reefs, known for its soothing properties... ",Skin-Soothing ,N/A,Best
sebacic acid,Used as a pH adjuster. ,Miscellaneous ,N/A,Good
selenium,Mineral considered to be a potent antioxidant... ,Antioxidants ,N/A,Best
Serenoa serrulata extract,None,"Skin-Soothing, Plant Extracts ",N/A,Average
sericin,Scientific name for silk protein. ,"Antioxidants, Plant Extracts ",N/A,Good
serine,None,"Antioxidants, Skin-Replenishing ",N/A,Good
sesame oil,Emollient oil similar to other nonfragrant plant oils. ,"Plant Extracts, Emollients ",N/A,Good
Sesamum indicum,None,"Plant Extracts, Emollients ",N/A,Good
sesquioleate,Used in cosmetics as a thickening agent and emollient. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
shea butter,Shea butter is a plant lipid extracted from the karite tree that is used as an emollient in cosmetics. ,"Plant Extracts, Emollients, Antioxidants ",N/A,Best
Siegesbeckia orientalis,Chinese herb (also known as St. Paul’s wort) for which there is no research showing that it has any... ,Plant Extracts ,N/A,Average
silanetriol,None,Uncategorized ,N/A,Good
silica,"Mineral found abundantly in sandstone, clay, and granite, as well as in parts of plants and... ","Thickeners/Emulsifiers, Absorbent ",N/A,Good
silica dimethyl silylate,Used as a slip and suspending agent. ,"Silicones, Slip Agents ",N/A,Good
silicate,Inorganic salt that has potent absorbing and thickening properties. ,"Thickeners/Emulsifiers, Absorbent ",N/A,Good
silicone,Substance derived from silica (sand is a silica). The unique fluid properties of silicone give it a... ,"Silicones, Slip Agents, Emollients ",N/A,Good
silk,None,Antioxidants ,N/A,Good
silk powder,Synthetically derived powder used as an absorbent and slip agent. ,"Absorbent, Slip Agents ",N/A,Good
silk protein,"Protein substance (also called sericin) formed by converting silk, which is the soft, lustrous... ",Antioxidants ,N/A,Good
siloxane,None,"Silicones, Slip Agents, Emollients ",N/A,Good
silt,A sediment obtained from various bodies of water. Silt’s absorbent nature helps it function to... ,Absorbent ,N/A,Good
silver,"Metallic element that in cosmetics can have disinfecting properties; however, prolonged contact can... ",Sensitizing ,N/A,Poor
silver chloride,An inorganic salt that has no known function in cosmetics. ,Sensitizing ,N/A,Average
silver tip white tea leaf extract,None,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Best
Silybum marianum extract,None,"Plant Extracts, Antioxidants ",N/A,Best
simethicone,"Mixture of dimethicone with silica; related to silicones, but used as an antifoaming agent. ","Silicones, Slip Agents ",N/A,Good
Simmondsia chinensis,None,"Plant Extracts, Emollients, Skin-Replenishing ",N/A,Best
skin-replenishing ingredients,"These are skincare ingredients that help enrich skin’s surface, drenching it with revitalizing hydration and keeping it there. ",Skin-Replenishing ,N/A,Best
skin-restoring ingredients,Skincare ingredients that nourish skin’s surface in a way that helps transform it on many levels... ,"Antioxidants, Skin-Restoring ",N/A,Best
skullcap extract,Herbal extract from Scutellaria baicalensis that has antioxidant soothing properties... ,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Good
slip agent,Term used to describe a range of ingredients that help other ingredients spread over the skin and... ,Slip Agents ,N/A,Good
slippery elm bark,Can be a skin-soothing ingredient. ,"Skin-Soothing, Plant Extracts ",N/A,Good
soap,True “soaps” are regulated by the Consumer Product Safety Commission and are not required to list... ,"Cleansing Agents, Sensitizing ",N/A,Poor
soapberry extract,Extract from the tree Sapindus saponaria. The berries contain a good amount of Saponins. ,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Good
soapwort,Plant from which is derived an extract with detergent cleansing properties. ,"Plant Extracts, Cleansing Agents ",N/A,Good
sodium acetate,"The sodium salt derived from acetic acid, it serves as a buffering agent when used in small amounts. ",Uncategorized ,N/A,Good
sodium acrylate/acryloydimethyl taurate copolymer,Synthetic polymer used as a stabilizing and suspending agent and as a thickening agent. ,Thickeners/Emulsifiers ,N/A,Good
sodium ascorbate,None,"Antioxidants, Vitamins ",N/A,Best
sodium ascorbyl phosphate,"Sodium ascorbyl phosphate is a stable, water-soluble form of vitamin C that functions as an antioxidant. ","Skin-Soothing, Vitamins, Antioxidants ",N/A,Best
sodium benzoate,Salt of benzoic acid used as a preservative. ,Preservatives ,N/A,Good
sodium bicarbonate,"A synthetic inorganic salt more commonly known as baking soda. It has many functions in cosmetics, including pH adjuster, buffering agent, and abrasive, such as in face or body scrubs. ","Miscellaneous, Scrub Agents ",N/A,Good
sodium bisulfite,Used in acid-type permanent waves to alter the shape of hair. It is less damaging than alkaline... ,Sensitizing ,N/A,Average
sodium borate,None,Sensitizing ,N/A,Poor
sodium C14-16 olefin sulfonate,"Can be derived from coconut. Used primarily as a detergent cleansing agent, but is potentially... ","Cleansing Agents, Sensitizing ",N/A,Poor
sodium carbomer,A blend of sodium (salt) and carbomer that functions as a stabilizer and film-forming agent. ,Film-Forming/Holding Agents ,N/A,Good
sodium carbonate,Absorbent salt used in cosmetics; it can also be a skin sensitizer. ,"Absorbent, Sensitizing ",N/A,Poor
sodium carboxymethyl beta-glucan,"A carbohydrate ingredient with a gel-like texture, it functions as a binding agent and texture... ",Thickeners/Emulsifiers ,N/A,Good
sodium cetearyl sulfate,A mixture of stearyl and cetyl sulfate that funtions as a surfactant. ,Cleansing Agents ,N/A,Good
sodium chloride,More popularly known as common table salt. Used primarily as a binding agent in skincare products... ,Scrub Agents ,N/A,Good
sodium chondroitin sulfate,"Derived from natural mucopolysaccharides, it functions as a skin-softening agent and helps... ",Skin-Replenishing ,N/A,Best
sodium citrate,"Used primarily to control the pH level of a product, this ingredient also has antioxidant and... ","Antioxidants, Preservatives ",N/A,Good
sodium cocoamphoacetate,A gentle cleansing agent derived from coconut fatty acids. It functions as a cleansing agent and... ,Cleansing Agents ,N/A,Good
sodium cocoate,Used as a cleansing agent primarily in soaps. It can be drying and sensitizing for skin. ,"Cleansing Agents, Sensitizing ",N/A,Poor
sodium cocoyl amino acids,The salt form of amino acids... ,Cleansing Agents ,N/A,Good
sodium cocoyl glutamate,A cleansing agent derived from coconut oil. This ingredient is also used to help soften (remove... ,Cleansing Agents ,N/A,Good
sodium cocoyl isethionate,"Derived from coconut, it is a mild detergent cleansing agent. ",Cleansing Agents ,N/A,Good
sodium dehydroacetate,Organic salt used as a preservative. ,Preservatives ,N/A,Good
sodium dilauramidoglutamide lysine,A plant-derived ingredient that helps replenish skin and hair... ,"Emulsifiers, Skin-Replenishing ",N/A,Good
sodium hexametaphosphate,"Salt with multiple functions in cosmetics. It can act as a detergent, an emulsifier, a texturizer,... ","Thickeners/Emulsifiers, Preservatives, Cleansing Agents ",N/A,Good
sodium hyaluronate,The salt form of skin-replenishing ingredient hyaluronic acid. ,"Skin-Replenishing, Antioxidants, Skin-Restoring ",N/A,Best
sodium hyaluronate crosspolymer,A modified form of skin-replenishing hyaluronic acid attached to a polymer structure ,"Skin-Replenishing, Film-Forming Agents, Film-Forming/Holding Agents ",N/A,Best
sodium hydroxide,"Also known as lye, it is a highly alkaline ingredient used in small amounts in cosmetics to... ","Cleansing Agents, Sensitizing ",N/A,Average
sodium hydroxymethylglycinate,"Derived from amino acids and used as a skin- and hair-softening agent, and to a lesser extent as... ","Preservatives, Hydration ",N/A,Good
sodium lactate,Sodium salt of lactic acid. Used primarily as a hydrating and buffering agent (to adjust a... ,Miscellaneous ,N/A,Good
sodium lactobionate,"White, crystalline powder used to synthesize other chemicals. May function as a preservative in... ",Preservatives ,N/A,Average
sodium laureth-13 carboxylate,Used primarily as a detergent cleansing agent.  ,Cleansing Agents ,N/A,Good
sodium laureth sulfate,Can be derived from coconut; it is used primarily as a detergent cleansing agent. It is considered... ,Cleansing Agents ,N/A,Good
sodium lauroamphoacetate,Mild surfactant also used as a lather agent. ,Cleansing Agents ,N/A,Good
sodium lauroyl lactylate,"Used as an emulsifier and mild thickening agent in cosmetics. In higher concentrations, it... ","Thickeners/Emulsifiers, Cleansing Agents ",N/A,Good
sodium lauroyl sarcosinate,Surfactant known (and used) for its foam-boosting properties. ,Cleansing Agents ,N/A,Good
sodium lauryl glucose carboxylate,A gentle cleansing agent that may be derived from coconut or made synthetically. ,Cleansing Agents ,N/A,Good
sodium lauryl sulfate,Versatile ingredient composed of several non-volatile alcohols. Functions primarily as a surfactant... ,"Thickeners/Emulsifiers, Cleansing Agents, Sensitizing ",N/A,Poor
sodium metabisulfite,Reducing agent that alters the structure of hair. It can also be used as a preservative in... ,"Antioxidants, Preservatives, Sensitizing ",N/A,Average
sodium methyl cocoyl taurate,Mild surfactant. ,Cleansing Agents ,N/A,Good
sodium methyl taurate,Mild surfactant often combined with... ,Cleansing Agents ,N/A,Good
sodium myreth sulfate,Detergent cleansing agent similar to sodium laureth sulfate or ammonium laureth sulfate... ,Cleansing Agents ,N/A,Good
sodium palmate,A soap ingredient created by the salts of acids derived from palm oil. May be naturally-derived or... ,Cleansing Agents ,N/A,Poor
sodium palm kernelate,None,Cleansing Agents ,N/A,Poor
sodium PCA,PCA (pyrrolidone carboxylic acid) is a natural component of skin that is also a very good... ,Skin-Replenishing ,N/A,Best
sodium PEG-7 olive oil carboxylate,A mild surfactant formed by reacting fatty acids from olive oil esters from polyethylene glycol... ,"Cleansing Agents, Emollients ",N/A,Good
sodium phytate,"The salt form of the corn-derived plant component phytic acid, used as a chelating agent in... ",Miscellaneous ,N/A,Good
sodium polyacrylate,"A synthetic polymer with multiple functions, including film-forming agent, stabilizer, absorbent,... ","Thickeners/Emulsifiers, Film-Forming/Holding Agents, Emollients, Absorbent ",N/A,Good
sodium salicylate,"Salt form of salicylic acid (BHA). Because it is not the acid form of salicylate (i.e., salicylic... ",Miscellaneous ,N/A,Average
sodium silicate,Highly alkaline and potentially sensitizing mineral used in cosmetics... ,Sensitizing ,N/A,Poor
sodium stearoyl lactylate,A synthetic or animal-derived ingredient... ,"Emulsifiers, Texture Enhancer ",N/A,Good
sodium sulfite,Reducing agent that alters the structure of hair. It can also be used as a preservative in cosmetic... ,"Preservatives, Sensitizing ",N/A,Average
sodium tallowate,Sodium salt of tallow. ,"Miscellaneous, Cleansing Agents ",N/A,Poor
sodium thioglycolate,"A synthetic ingredinet that functions as a reducing agent in cosmetics, most typically hair-removal lotions... ",Sensitizing ,N/A,Poor
sodium trideceth sulfate,None,Cleansing Agents ,N/A,Good
Solanum lycopersicum extract,None,"Antioxidants, Sensitizing, Plant Extracts ",N/A,Average
Solanum tuberosum extract,Extract that is more commonly known as potato starch. Used as a thickening agent and texture enhancer in cosmetics. ,"Thickeners/Emulsifiers, Texture Enhancer ",N/A,Good
solvent,"Describes a large group of ingredients, including water, that are used to dissolve or break down... ",Miscellaneous ,N/A,Good
Sonojell,Trade name for petrolatum. ,"Skin-Soothing, Emollients ",N/A,Good
soothing agent,Any ingredient that reduces certain signs of sensitivity in skin... ,Skin-Soothing ,N/A,Best
sorbic acid,Preservative derived from mountain ash berries or manufactured synthetically. Sorbic acid is used... ,Preservatives ,N/A,Good
sorbitan oleate,Synthetic or animal-derived ingredient used as an emulsifier and cleansing agent. ,"Thickeners/Emulsifiers, Cleansing Agents ",N/A,Good
sorbitan sesquioleate,None,Thickeners/Emulsifiers ,N/A,Good
sorbitan stearate,Used to thicken and stabilize cosmetic formulations. ,Thickeners/Emulsifiers ,N/A,Good
sorbitol,"Can be created synthetically or derived from natural sources. Similar to glycerin, it is a... ","Thickeners/Emulsifiers, Hydration, Slip Agents ",N/A,Good
soy extract,Potent antioxidant and soothing agent for skin... ,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Best
soy isoflavones,None,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Best
soy oil,Emollient oil similar to all nonfragrant plant oils. ,"Skin-Soothing, Antioxidants, Plant Extracts, Emollients ",N/A,Best
spearmint oil,"Fragrant, volatile oil that can cause skin sensitivity. ","Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
SPF,None,Miscellaneous ,N/A,Best
sphingolipids,Sphingolipids are complex lipids (fats) that function as skin-replenishing and conditioning ingredients... ,"Skin-Restoring, Skin-Replenishing ",N/A,Best
Spiraea ulmaria,None,"Skin-Soothing, Plant Extracts ",N/A,Best
spirulina,None,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Emollients ",N/A,Good
squalane,Squalane is a moisturizing ingredient that’s also a source of skin-replenishing fatty acids and antioxidants. ,"Hydration, Antioxidants, Skin-Replenishing, Emollients ",N/A,Best
squalene,Oil derived from shark liver or from plants (usually olives). It is a natural component... ,"Antioxidants, Skin-Replenishing, Emollients ",N/A,Best
St. John's wort,Contains several components that are harmful to skin in the presence of sunlight (Sources: Planta... ,"Antioxidants, Plant Extracts ",N/A,Good
star anise,None,"Antioxidants, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
steapyrium chloride,Antistatic agent used in hair-care products. ,Miscellaneous ,N/A,Good
stearalkonium chloride,Antistatic ingredient used in hair-care products to control flyaways and aid in helping a brush or... ,Miscellaneous ,N/A,Good
stearalkonium hectorite,Used as a suspending agent. ,Miscellaneous ,N/A,Good
stearates,None,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing ",N/A,Good
steareth-20,"Derived from the benign fatty ingredient stearyl alcohol, this functions primarily as a surfactant... ",Cleansing Agents ,N/A,Good
stearic acid,Fatty acid used as an emollient and emulsifier... ,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing ",N/A,Good
stearyl alcohol,Fatty alcohol used as an emollient and to help keep other ingredients intact in a formulation. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
stearyl dimethicone,Stearyl dimethicone is a synthetic skin-conditioning agent that's a siloxane polymer... ,"Silicones, Slip Agents ",N/A,Good
stearyl glycyrrhetinate,"The fatty acid form of the skin soothing glycyrrhetinic acid, which is derived from licorice. ","Skin-Soothing, Plant Extracts ",N/A,Best
stearyl methicone,Silicone polymer used as a skin-conditioning or occlusive agent. ,"Silicones, Emollients, Slip Agents ",N/A,Good
stearyl stearate,A plant-based wax prepared with natural fatty acids combined with synthetic fatty alcohols. ,"Emollients, Texture Enhancer ",N/A,Good
styrax benzoin,None,Preservatives ,N/A,Poor
styrene/acrylates copolymer,Synthetic polymer. ,Film-Forming/Holding Agents ,N/A,Good
sucrose,Monosaccharide that has hydrating properties for skin. ,"Skin-Replenishing, Hydration ",N/A,Good
sugarcane extract,"Ingredients like sugarcane extract, fruit extracts, mixed fruit extracts, and milk solids may claim... ",Plant Extracts ,N/A,Average
sulfates,"Sulfates are a group of ingredients that have many consumers worried but in truth, misinformation, not sulfates, are the actual problem... ",Cleansing Agents ,N/A,Good
sulfur,Disinfectant agent that can be a potent skin sensitizer... ,Sensitizing ,N/A,Poor
sunflower seed oil,Non-volatile plant oil used as an emollient in cosmetics. ,"Plant Extracts, Emollients ",N/A,Best
sun protection factor,"Most commonly seen as SPF, it is a number that is assigned to a product that identifies its ability... ",Miscellaneous ,N/A,Best
superoxide dismutase,Enzyme considered to be an antioxidant... ,Antioxidants ,N/A,Best
surfactant,Shortened term for surface active agent. Surfactants degrease and emulsify oils and fats and... ,Cleansing Agents ,N/A,Good
sweet almond,"Most often used in its oil form, this ingredient is expressed from almonds. Also used as an... ","Emollients, Plant Extracts ",N/A,Good
sweet almond oil,"Emollient, non-fragrant plant oil. ",Emollients ,N/A,Good
Symphytum officinale extract,None,"Skin-Soothing, Plant Extracts, Sensitizing ",N/A,Poor
synthetic beeswax,An artificial form of beeswax composed of a mixture of alcohol esters... ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
synthetic wax,A wax derived from a mixture of various oils. It functions as a binding and stabilizing agent. ,"Miscellaneous, Texture Enhancer ",N/A,Good
Szechuan peppercorn,"From a plant native to Szechuan Province in China. It grows on trees, and so differs from black... ","Plant Extracts, Sensitizing ",N/A,Poor
talc,Naturally occurring silicate mineral (any group of substances containing negative ions composed of... ,Miscellaneous ,N/A,Good
tallow,"Substance extracted from the fatty deposits of animals, especially from suet (the fat of cattle and... ",Miscellaneous ,N/A,Poor
tamanu oil,"From a tree native to Polynesia. It is reputed to have wondrous skin-restoring properties, as well… ","Skin-Soothing, Hydration, Plant Extracts ",N/A,Good
Tanacetum parthenium,None,"Skin-Soothing, Plant Extracts, Sensitizing ",N/A,Average
tangerine oil,"Fragrant, volatile citrus oil that can be a skin sensitizer… ",Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
tannic acid,Polyphenol that's considered a very good antioxidant… ,Antioxidants ,N/A,Best
tapioca starch,A natural thickener and texture enhancer derived from the roots of Manihot...,"Thickeners, Texture Enhancer ",N/A,Good
tartaric acid,"A naturally-occurring crystalline organic acid found in many plants, including grapes and tamarinds. It is one... ",Exfoliant ,N/A,Best
TEA,None,Miscellaneous ,N/A,Good
TEA-lauryl sulfate,"While there is abundant research showing sodium lauryl sulfate is a sensitizing cleansing agent,... ","Thickeners/Emulsifiers, Sensitizing, Cleansing Agents ",N/A,Poor
tea tree oil,"Also known as Melaleuca, from the name of its native Australian plant source, Melaleuca alternifolia. ","Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Good
terephthalylidene dicamphor sulfonic acid,None,Sunscreen Actives ,N/A,Best
tetradibutyl pentaerithrityl hydroxyhydrocinnamate,None,Antioxidants ,N/A,Good
tetrahexyldecyl ascorbate,Tetrahexyldecyl ascorbate is a stable form of vitamin C that is considered an analogue of L-ascorbic acid. Unlike pure vitamin C... ,"Antioxidants, Vitamins ",N/A,Best
tetrahydrobisdemethoxycurcumin,Antioxidant and skin-soothing plant extract. ,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Best
tetrahydrobisdemethoxydiferuloylmethane,A synthetic antioxidant derived from curcumin. ,Antioxidants ,N/A,Best
tetrahydrodemethoxycurcumin,None,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Best
tetrahydrodemethoxydiferuloylmethane,A synthetic antioxidant that provides the effects of the antioxidant curcumin but... ,"Skin-Soothing, Antioxidants ",N/A,Best
tetrahydrodiferuloylmethane,Antioxidant and skin-soothing plant extract. ,"Skin-Soothing, Antioxidants ",N/A,Best
tetrahydromethoxycurcumin,Antioxidant and skin-soothing plant extract. ,"Skin-Soothing, Antioxidants ",N/A,Best
tetrahydroxypropyl ethylenediamine,None,Miscellaneous ,N/A,Good
tetrasodium EDTA,Chelating agent used to prevent minerals present in formulations from bonding to other ingredients. ,Miscellaneous ,N/A,Good
tetrasodium etidronate,Used as a chelating agent in cosmetics to prevent varying mineral components from binding together... ,Miscellaneous ,N/A,Good
Theobroma cacao seed butter,None,"Plant Extracts, Emollients ",N/A,Best
thiamine HCL,Vitamin B1. There is no research showing this to be effective when applied topically on skin. ,Vitamins ,N/A,Good
thickening agent,"Substances that can have a soft to hard waxlike texture or a creamy, emollient feel, and that can... ",Thickeners/Emulsifiers ,N/A,Good
thioctic acid,Technical name for the antioxidant alpha lipoic acid. Unlike many antioxidants that are either... ,Antioxidants ,N/A,Best
thiodipropionic acid,"Acid-based synthetic antioxidant. There is no research pertaining to its benefit for skin, but in... ",Antioxidants ,N/A,Average
thiotaurine,"Amino acid. Potentially, it can have antioxidant properties for skin... ","Antioxidants, Skin-Replenishing ",N/A,Good
threonine,None,"Antioxidants, Skin-Replenishing ",N/A,Good
